task,success,valid,codebleu,bleu,meteor,rouge1,rouge2,rougeL,rougeLsum,chrF,ter,wer
str_append,0.9984126984126984,0.8282988871224165,0.36754971103003037,0.20725489117435086,0.4487364920313301,0.36429244825614665,0.2042146031779228,0.3580648946781334,0.3618247629840761,34.54029443657318,115.97416907429884,1.2717474929524264
str_concat,0.9984126984126984,0.7631160572337043,0.4177609245700164,0.2860914841403517,0.5067564491721726,0.427347725139543,0.27334462745341886,0.40810219570746753,0.42676292024096707,42.28418809810398,124.79724354825805,1.3100662413945856
int_cmp,0.9936507936507937,0.7667731629392971,0.3767387932742792,0.27836564367446526,0.49403044103154364,0.451266258777654,0.2629894642079811,0.39155125055618994,0.44998198513031845,42.85342154202709,80.28802481381932,0.8481797447627338
str_interp,0.9952380952380953,0.7511961722488039,0.36555921975437117,0.23741678238475963,0.5089837780258734,0.3764010507617179,0.20920473445626425,0.3375803483592731,0.37209437890948893,39.47322713438627,136.22935318179097,1.4828370090487837
str_prepend,1.0,0.7396825396825397,0.34202157068954137,0.14908605664796326,0.41475456715794357,0.31418443442557625,0.1304882655861009,0.30619573480874523,0.3138148224615041,27.071814459981777,155.88548618373179,1.7159920634920636
int_arith,0.9984126984126984,0.7090620031796503,0.3033540876911262,0.25142372340340163,0.4184498581735029,0.3414020379156347,0.15339682421786696,0.2940045740571366,0.3342600857593399,38.83043580974719,126.16841482930869,1.3117826988435282
file_size,0.9968253968253968,0.6385350318471338,0.35776894993270264,0.22302278753924243,0.4655410849099368,0.27537538553970636,0.12259979799807356,0.2508171032055339,0.27022391206702034,41.4568520706583,267.4693608233551,3.0985553422020256
file_rename,0.9920634920634921,0.608,0.38259630704143427,0.29692585557886125,0.5201357346624547,0.22402728215478981,0.1042305006650195,0.2146199523202858,0.22333482552233086,49.130375337049806,347.9985771586244,3.843040501253133
file_exists,0.9984126984126984,0.6025437201907791,0.36939988938695906,0.2025447174630415,0.4290990275597751,0.20758992223360617,0.09955440874642159,0.18186452139269232,0.20647981489095915,38.16130607690474,631.5329695147833,8.869049293314
str_match,0.9936507936507937,0.5942492012779552,0.27112455270849595,0.11215597146375085,0.2846948009725808,0.19442356138730685,0.051098838943049264,0.1445504111047789,0.19172998509662728,29.187124462055568,197.52046110568782,2.2832878435328388
logic_ops,0.9984126984126984,0.5739268680445151,0.48009764927046594,0.41488469554422663,0.662306517061845,0.4823083972337203,0.2986716492982687,0.47068374019889114,0.4814889036815883,51.495731826803414,98.40603264511667,1.0024072966104576
file_create,0.9968253968253968,0.5652866242038217,0.32934660792367737,0.21035869599725027,0.4167392114007643,0.252253161603838,0.11524677251674885,0.2327401438630944,0.2518593563583354,39.7591694390656,201.38227059079244,2.176772906294361
dir_make,0.9952380952380953,0.5151515151515151,0.3203087121779791,0.17607110844792837,0.37026117133669734,0.26322086234141273,0.10863784355294162,0.2299947190500708,0.26308019325046916,36.15501627506375,642.2068722638624,6.298333176970948
str_substring,0.9920634920634921,0.5088,0.30997617039374864,0.18190089848448274,0.35723338924103243,0.2726387148027107,0.1119254702433475,0.2242454477068794,0.26982369266968603,36.489975701230115,147.56822047604226,1.5932217993897133
int_factors,0.9968253968253968,0.5031847133757962,0.261106512802508,0.15239988099581225,0.3169883606981043,0.30379398693462545,0.10209525933990725,0.24583705657577026,0.30193660697676666,33.102127694532776,130.55178751901173,1.357916125017642
str_cmp,0.973015873015873,0.5154975530179445,0.2565315933323334,0.1113563084545229,0.2434278768169237,0.2032140657936237,0.05442502313578885,0.14691225851632886,0.19976192603345172,27.2960980296074,113.19470309129618,1.156300512404736
bit_ops,0.9809523809523809,0.48220064724919093,0.31816458769142864,0.22426105736532184,0.3947613992016099,0.2871596416526737,0.13368699876315754,0.2394331531966246,0.2826892360126191,33.03491841394339,143.70191200443037,1.4544062405507703
