task,success,valid
logic_ops,0.42063492063492064,0.18888888888888888
dir_make,0.46825396825396826,0.1365079365079365
bit_ops,0.48412698412698413,0.12380952380952381
int_factors,0.4714285714285714,0.11746031746031746
str_substring,0.4587301587301587,0.11428571428571428
str_cmp,0.4301587301587302,0.11904761904761904
file_create,0.4126984126984127,0.10476190476190476
file_rename,0.373015873015873,0.09206349206349207
file_exists,0.3904761904761905,0.08571428571428572
str_match,0.38095238095238093,0.08412698412698413
file_size,0.3412698412698413,0.0761904761904762
str_prepend,0.25873015873015875,0.09682539682539683
int_arith,0.2777777777777778,0.08888888888888889
str_concat,0.23015873015873015,0.08253968253968254
str_interp,0.24126984126984127,0.0761904761904762
int_cmp,0.2253968253968254,0.06507936507936508
str_append,0.16984126984126985,0.08095238095238096
